"Highlight","Book Title","Book Author","Amazon Book ID","Note","Color","Tags","Location Type","Location","Highlighted at","Document tags","highlight_id","book_id","is_favorited","is_discarded","last_reviewed_at","review_count","created_at","updated_at","book_created_at","book_updated_at"
"it is time for us to reclaim our right to a full night of sleep, without embarrassment or the damaging stigma of laziness. In doing so, we can be reunited with that most powerful elixir of wellness and vitality, dispensed through every conceivable biological pathway. Then we may remember what it feels like to be truly awake during the day, infused with the very deepest plenitude of being.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T19:38:00","","20","1","true","false","","","2025-12-10T19:38:00","2025-12-20T09:30:18.752232","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"This silent sleep loss epidemic is the greatest public health challenge we face in the twenty-first century in developed nations.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T19:37:00","","21","1","false","false","","","2025-12-10T19:37:00","2025-12-20T09:30:18.777591","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Rather than required hours with relatively hard boundaries (i.e., the classic nine to five), businesses need to adapt a far more tapered vision of hours of operation, one that resembles a squished inverted-U shape. Everyone would be present during a core window for key interactions—say, twelve to three p.m. Yet there would be flexible tail ends either side to accommodate all individual chronotypes.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T15:14:00","","22","1","true","false","","","2025-12-10T15:14:00","2025-12-20T09:30:18.800002","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Based on recent surveys and clinical evaluations, we estimate that more than 50percent of all children with an ADHD diagnosis actually have a sleep disorder, yet a small fraction know of their sleep condition and its ramifications.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:47:00","","23","1","false","false","","","2025-12-10T14:47:00","2025-12-20T09:30:18.821782","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"It is clear that a tired, under-slept brain is little more than a leaky memory sieve, in no state to receive,absorb, or efficiently retain an education.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:41:00","","24","1","false","false","","","2025-12-10T14:41:00","2025-12-20T09:30:18.844340","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"One longitudinal study tracked more than 5,000 Japanese schoolchildren and discovered that those individuals who were sleeping longer obtained better grades across the board. Controlled sleep laboratory studies in smaller samples show that children with longer total sleep times develop superior IQ, with brighter children having consistently slept forty to fifty minutes more than those who went on to develop a lower IQ.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:37:00","","25","1","false","false","","","2025-12-10T14:37:00","2025-12-20T09:30:18.871570","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"Published in his seminal papers and book Genetic Studies of Genius, Terman found that no matter what the age, the longer a child slept, the more intellectually gifted they were. He further found that sleep time was most strongly connected to a reasonable (i.e., a later) school start time: one that was in harmony with the innate biological rhythms of these young, still-maturing brains.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:35:00","","26","1","false","false","","","2025-12-10T14:35:00","2025-12-20T09:30:18.890698","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"It is the lack of REM sleep—that critical stage occurring in the final hours of sleep that we strip from our children and teenagers by way of early school start times—that creates the difference between a stable and unstable mental state.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:33:00","","27","1","false","false","","","2025-12-10T14:33:00","2025-12-20T09:30:18.904536","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"In the mid-1990s, NASA refined the science of sleeping on the job for the benefit of their astronauts. They discovered that naps as short as twenty-six minutes in length still offered a 34 percent improvement in task performance and more than a 50 percent increase in overall alertness.","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:23:00","","28","1","false","false","","","2025-12-10T14:23:00","2025-12-20T09:30:18.918911","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
"in the days after a supervisor had slept poorly, the employees themselves, even if well rested, became less engaged in their jobs throughout that day as a consequence. It was a chain-reaction effect, one in which the lack of sleep in that one superordinate person in a business structure was transmitted on like a virus, infecting even well-rested employees with work dis","Why We Sleep","Matthew Walker","","","","","","","2025-12-10T14:18:00","","1","1","false","false","","","2025-12-10T14:18:00","2025-12-20T09:30:18.234919","2025-12-20T09:30:18.249376","2025-12-20T09:30:18.250182"
